att0,att1,att2,att3
11.0,3.3,54.959999,55.0
4.0,1.2,19.98,40.0
0.9,0.27,4.5,1.8
2.0,1.2,19.98,10.0
2.0,1.8,19.98,30.0
2.5,1.5,24.959999,25.0
9.5,2.85,47.459999,19.0
5.0,1.5,16.65,10.0
6.5,5.85,97.5,65.0
5.0,1.5,24.959999,25.0
2.5,0.75,12.48,25.0
9.5,5.7,94.980003,95.0
6.5,5.85,64.980003,32.5
5.0,3.0,33.299999,75.0
8.0,7.2,79.919998,40.0
0.9,0.27,2.97,4.5
0.5,0.45,4.95,1.0
6.5,1.95,32.459999,97.5
2.5,1.5,16.65,37.5
2.5,1.5,16.65,12.5
0.7,0.42,6.96,7.0
5.0,4.5,75.0,25.0
11.0,3.3,36.630001,110.0
0.6,0.18,6.0,3.0
6.5,5.85,97.5,32.5
0.9,0.54,5.94,9.0
1.5,1.35,14.94,15.0
4.0,2.4,26.639999,40.0
2.0,1.2,19.98,20.0
2.0,0.6,9.96,20.0
0.5,0.3,4.98,7.5
2.5,2.25,37.5,25.0
2.5,0.75,12.48,12.5
0.8,0.48,7.98,8.0
5.0,3.0,49.98,25.0
8.0,2.4,39.959999,40.0
0.8,0.24,7.98,4.0
9.5,2.85,31.59,142.5
3.0,2.7,45.0,15.0
1.5,0.9,9.99,3.0
1.5,1.35,22.5,15.0
3.0,2.7,45.0,45.0
0.5,0.15,2.46,7.5
6.5,1.95,21.6,65.0
0.7,0.63,10.5,3.5
6.5,3.9,43.290001,97.5
0.6,0.18,3.0,1.2
9.5,5.7,63.27,47.5
0.7,0.21,3.48,7.0
9.5,8.55,94.949997,47.5
3.0,0.9,9.99,6.0
0.8,0.72,12.0,12.0
3.0,1.8,19.98,30.0
0.9,0.27,4.5,9.0
4.0,1.2,13.32,60.0
0.8,0.24,3.96,1.6
2.5,1.5,24.959999,37.5
8.0,2.4,26.639999,80.0
0.6,0.36,12.0,3.0
0.8,0.48,15.99,12.0
0.6,0.54,18.0,3.0
0.8,0.48,5.31,4.0
4.0,3.6,39.959999,40.0
4.0,3.6,60.0,20.0
6.5,1.95,32.459999,97.5
2.5,0.75,8.28,37.5
0.8,0.24,3.96,12.0
2.0,0.6,6.66,10.0
6.5,3.9,43.290001,32.5
0.7,0.42,6.96,3.5
0.5,0.15,2.46,2.5
9.5,5.7,63.27,95.0
0.5,0.45,15.0,5.0
0.5,0.45,15.0,1.0
0.7,0.21,3.48,7.0
2.0,1.8,19.98,10.0
5.0,3.0,33.299999,10.0
0.6,0.54,9.0,6.0
2.5,2.25,37.5,12.5
3.0,1.8,30.0,15.0
2.5,2.25,24.93,12.5
11.0,6.6,73.260002,22.0
4.0,3.6,39.959999,40.0
0.8,0.48,15.99,1.6
5.0,1.5,24.959999,10.0
0.8,0.48,15.99,4.0
2.0,1.8,30.0,20.0
0.7,0.21,6.99,1.4
0.7,0.42,6.96,3.5
3.0,2.7,29.969999,30.0
9.5,2.85,47.459999,47.5
2.5,0.75,12.48,12.5
2.5,1.5,16.65,25.0
3.0,1.8,19.98,30.0
0.6,0.18,1.98,9.0
2.0,1.8,19.98,4.0
9.5,2.85,47.459999,142.5
0.6,0.36,12.0,1.2
1.5,0.9,9.99,7.5
0.5,0.3,3.33,2.5
0.9,0.54,18.0,9.0
0.8,0.48,15.99,4.0
9.5,8.55,94.949997,142.5
9.5,2.85,31.59,47.5
0.9,0.27,4.5,13.5
5.0,4.5,75.0,75.0
0.7,0.63,10.5,10.5
2.5,0.75,8.28,37.5
9.5,5.7,94.980003,142.5
0.8,0.72,12.0,12.0
5.0,4.5,49.950001,25.0
11.0,6.6,73.260002,110.0
0.6,0.36,3.96,9.0
3.0,0.9,9.99,6.0
0.5,0.3,9.99,1.0
6.5,5.85,64.980003,65.0
3.0,1.8,30.0,15.0
2.5,0.75,12.48,37.5
0.9,0.27,2.97,9.0
6.5,1.95,21.6,97.5
0.8,0.24,7.98,12.0
2.0,1.8,30.0,10.0
0.8,0.24,2.64,12.0
3.0,0.9,15.0,30.0
0.5,0.15,1.64,5.0
5.0,1.5,16.65,75.0
5.0,4.5,75.0,50.0
0.8,0.24,2.64,8.0
1.5,0.9,9.99,15.0
0.6,0.36,12.0,9.0
2.5,0.75,12.48,25.0
0.6,0.36,6.0,3.0
8.0,2.4,39.959999,40.0
0.9,0.27,4.5,4.5
6.5,3.9,43.290001,32.5
0.7,0.63,6.93,1.4
