Strength,Temperature
33.5,270.0
25.7,250.0
26.5,230.0
26.6,250.0
26.7,260.0
25.2,240.0
26.6,220.0
28.3,270.0
26.4,260.0
26.4,220.0
33.2,260.0
21.3,230.0
22.7,220.0
22.1,230.0
20.7,220.0
31.5,290.0
26.2,220.0
35.7,290.0
30.2,240.0
28.2,270.0
43.5,300.0
24.6,240.0
38.7,280.0
30.4,280.0
28.1,260.0
22.6,220.0
19.7,210.0
35.5,280.0
35.0,270.0
32.2,290.0
27.0,240.0
24.7,230.0
16.6,210.0
26.6,230.0
33.5,280.0
34.7,260.0
24.5,200.0
48.7,300.0
23.7,200.0
40.8,290.0
38.4,290.0
45.3,300.0
38.2,300.0
19.7,210.0
30.1,270.0
33.8,280.0
18.7,220.0
39.8,260.0
28.7,230.0
37.9,280.0
19.7,220.0
40.7,290.0
30.6,250.0
40.5,260.0
26.8,260.0
30.6,250.0
14.7,210.0
25.8,230.0
32.7,250.0
26.7,230.0
24.7,260.0
15.3,200.0
15.7,210.0
30.2,230.0
32.7,270.0
32.2,250.0
14.4,200.0
24.1,200.0
30.5,220.0
27.0,220.0
33.7,260.0
24.7,220.0
38.5,300.0
32.5,240.0
22.4,220.0
24.6,210.0
34.4,300.0
36.8,280.0
34.6,280.0
24.3,250.0
26.2,260.0
35.8,250.0
34.3,270.0
34.5,240.0
34.2,290.0
38.7,270.0
30.2,250.0
28.1,210.0
19.3,200.0
34.7,280.0
20.1,210.0
20.2,200.0
34.8,250.0
33.5,260.0
40.5,300.0
32.2,270.0
17.2,220.0
19.5,230.0
20.2,220.0
26.5,200.0
29.7,250.0
36.5,290.0
22.5,230.0
38.1,290.0
41.5,280.0
18.7,220.0
17.7,200.0
35.8,240.0
39.7,290.0
16.2,210.0
27.7,260.0
21.2,230.0
23.3,210.0
34.3,300.0
30.6,280.0
38.8,290.0
31.7,290.0
34.5,270.0
34.5,260.0
20.5,200.0
36.6,290.0
31.2,250.0
24.7,250.0
34.1,240.0
20.7,210.0
37.9,260.0
29.9,230.0
35.7,280.0
44.2,300.0
42.3,290.0
18.7,200.0
32.1,250.0
35.8,280.0
40.6,290.0
28.6,240.0
40.7,300.0
30.5,240.0
28.5,260.0
38.5,260.0
33.9,290.0
32.5,270.0
32.7,260.0
20.2,220.0
35.0,250.0
39.3,290.0
26.6,230.0
29.2,230.0
28.5,250.0
32.5,230.0
45.5,300.0
42.6,300.0
24.7,230.0
35.5,270.0
30.5,260.0
35.9,280.0
35.0,290.0
24.6,230.0
36.5,250.0
34.1,280.0
30.3,280.0
26.5,240.0
16.3,200.0
20.7,220.0
29.8,210.0
17.7,200.0
38.5,300.0
45.9,300.0
34.1,250.0
25.7,230.0
42.1,290.0
34.2,290.0
25.7,240.0
25.5,230.0
21.2,220.0
32.5,250.0
25.7,210.0
38.6,290.0
19.9,210.0
28.5,220.0
33.8,250.0
28.6,250.0
28.5,250.0
37.7,290.0
39.9,290.0
32.7,260.0
44.7,300.0
19.7,200.0
34.5,290.0
27.0,230.0
34.7,270.0
29.9,220.0
30.2,260.0
22.7,200.0
28.2,220.0
37.8,270.0
25.9,220.0
25.2,230.0
33.2,250.0
34.8,270.0
34.5,240.0
24.6,220.0
22.2,220.0
18.6,220.0
28.7,230.0
35.9,250.0
28.7,230.0
20.3,200.0
36.2,290.0
28.6,220.0
30.2,280.0
34.2,260.0
22.2,230.0
26.1,240.0
22.7,250.0
29.3,230.0
33.9,260.0
16.2,210.0
45.0,300.0
36.8,260.0
32.7,250.0
42.7,290.0
28.7,250.0
23.0,200.0
40.8,300.0
23.3,240.0
27.3,220.0
31.3,280.0
32.2,280.0
30.7,260.0
32.2,250.0
30.2,230.0
37.9,300.0
31.3,240.0
20.7,220.0
39.5,280.0
43.0,290.0
15.2,210.0
18.2,210.0
27.7,220.0
25.5,260.0
16.7,210.0
36.5,270.0
33.5,270.0
35.2,300.0
38.7,260.0
30.7,280.0
41.5,300.0
27.3,210.0
44.1,290.0
34.7,280.0
24.2,210.0
29.3,270.0
16.2,200.0
26.2,250.0
27.0,250.0
15.5,200.0
26.2,250.0
30.8,280.0
33.2,300.0
27.5,220.0
25.5,240.0
42.7,270.0
22.6,200.0
22.3,220.0
32.2,240.0
24.6,250.0
28.2,270.0
43.8,290.0
35.7,290.0
44.7,290.0
18.6,200.0
40.2,280.0
35.5,280.0
14.6,200.0
32.2,280.0
30.7,250.0
19.9,200.0
41.8,280.0
19.5,210.0
21.0,210.0
30.5,210.0
16.7,210.0
13.2,200.0
44.2,290.0
20.2,200.0
26.2,230.0
18.8,200.0
21.7,200.0
29.5,230.0
